"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0E740","2020-05-05 00:00:00","27.000","0.000","0.200","26.300","0.920","1008.700","","0.000","-99.000","-99.000","-99.000","32.800","","26.300",""
"C0R650","2020-05-05 00:00:00","29.000","0.000","0.000","26.000","0.990","1008.900","","0.000","-99.000","-99.000","-99.000","33.100","","25.300",""
"C0S750","2020-05-05 00:00:00","2280.000","270.000","1.000","11.300","0.950","775.100","","0.000","-99.000","-99.000","-99.000","22.800","","11.300",""
"C0I370","2020-05-05 00:00:00","671.000","0.000","0.000","23.000","0.890","937.900","","0.000","-99.000","-99.000","-99.000","32.200","","21.100",""
"C0K400","2020-05-05 00:00:00","65.000","197.000","1.500","26.300","0.910","1004.200","","0.000","-99.000","-99.000","-99.000","32.300","","24.100",""
"C0A650","2020-05-05 00:00:00","287.000","0.000","0.000","20.300","0.950","978.400","","0.000","-99.000","-99.000","-99.000","32.300","","19.400",""
"C0U750","2020-05-05 00:00:00","398.000","190.000","2.700","22.600","1.000","966.200","","0.000","-99.000","-99.000","-99.000","24.100","","21.400",""
"C0M730","2020-05-05 00:00:00","40.000","137.000","0.500","26.100","0.830","1005.800","","0.000","-99.000","-99.000","-99.000","33.900","","25.100",""
"C0Z061","2020-05-05 00:00:00","174.000","146.000","0.800","23.500","0.950","995.000","","0.000","-99.000","-99.000","-99.000","34.500","","21.500",""
"C0M670","2020-05-05 00:00:00","43.000","204.000","0.500","26.300","0.830","1005.600","","0.000","-99.000","-99.000","-99.000","32.600","","25.100",""
"C0I530","2020-05-05 00:00:00","3014.000","238.000","5.200","8.800","0.560","-99.000","","-99.000","-99.000","-99.000","-99.000","14.000","","6.600",""
"C0A880","2020-05-05 00:00:00","6.000","0.000","0.000","23.900","0.940","1008.000","","0.000","-99.000","-99.000","-99.000","31.200","","21.500",""
"C0S950","2020-05-05 00:00:00","415.000","235.000","2.200","22.800","0.990","964.200","","0.000","-99.000","-99.000","-99.000","29.100","","22.000",""
"C0X190","2020-05-05 00:00:00","10.000","223.000","1.300","27.100","0.820","1009.300","","0.000","-99.000","-99.000","-99.000","29.500","","25.800",""
"C0A560","2020-05-05 00:00:00","405.000","0.000","0.000","20.700","1.000","966.200","","0.000","-99.000","-99.000","-99.000","33.800","","19.200",""
"C0E780","2020-05-05 00:00:00","160.000","283.000","0.500","25.400","0.840","992.700","","0.000","-99.000","-99.000","-99.000","33.700","","24.500",""
"C0SA80","2020-05-05 00:00:00","136.000","258.000","0.300","23.300","0.900","996.200","","0.000","-99.000","-99.000","-99.000","30.400","","21.600",""
"C0T960","2020-05-05 00:00:00","120.000","0.000","0.100","21.800","0.990","997.800","","0.000","-99.000","-99.000","-99.000","32.900","","20.200",""
"C0X320","2020-05-05 00:00:00","30.000","133.000","0.800","24.500","0.910","1007.000","","0.000","-99.000","-99.000","-99.000","33.600","","23.600",""
"C0UA50","2020-05-05 00:00:00","808.000","152.000","0.700","22.100","0.700","922.300","","1.000","-99.000","-99.000","-99.000","27.100","","19.400",""
"C0U860","2020-05-05 00:00:00","5.000","0.000","0.000","24.500","0.990","1010.200","","0.000","-99.000","-99.000","-99.000","31.100","","22.900",""
"C0F0C0","2020-05-05 00:00:00","983.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0D480","2020-05-05 00:00:00","223.000","239.000","0.300","24.600","0.930","985.000","","0.000","-99.000","-99.000","-99.000","32.100","","23.400",""
"C0K291","2020-05-05 00:00:00","8.000","219.000","1.400","26.800","0.850","1010.300","","0.000","-99.000","-99.000","-99.000","30.300","","24.400",""
"C0AH30","2020-05-05 00:00:00","755.000","165.000","3.600","21.100","0.920","927.500","","0.000","-99.000","-99.000","-99.000","28.200","","19.700",""
"C0R130","2020-05-05 00:00:00","1040.000","100.000","1.500","21.200","0.730","896.700","","0.000","-99.000","-99.000","-99.000","30.900","","18.700",""
"C0M790","2020-05-05 00:00:00","15.000","190.000","0.300","26.000","0.840","1008.200","","0.000","-99.000","-99.000","-99.000","32.100","","25.000",""
"C0I520","2020-05-05 00:00:00","3860.000","-99.000","-99.000","5.200","0.550","643.700","","-99.000","-99.000","-99.000","-99.000","9.300","","3.600",""
"C0C590","2020-05-05 00:00:00","72.000","231.000","1.200","25.400","0.910","1001.700","","0.000","-99.000","-99.000","-99.000","30.700","","24.500",""
"C0G780","2020-05-05 00:00:00","27.000","181.000","0.900","26.500","0.860","1007.800","","0.000","-99.000","-99.000","-99.000","31.400","","25.200",""
"C0V660","2020-05-05 00:00:00","25.000","194.000","1.100","27.200","0.840","1008.300","","0.000","-99.000","-99.000","-99.000","31.400","","25.700",""
